Selection	View	Channel	Begin File	Begin Clock Time	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Category	Comment
1	Spectrogram 1	1	HS180803-1236-ESM.wav	0.1699	0.169868689	13.487573875	30.247	2408.410	13.3177	2378.164	-67.70	Ij13	
2	Spectrogram 1	1	HS180803-1236-ESM.wav	14.4049	14.404864793	28.809729586	30.247	2412.191	14.4049	2381.944	-65.09	Ij13	
3	Spectrogram 1	1	HS180803-1236-ESM.wav	29.2854	29.285361914	48.786287365	34.028	2381.944	19.5009	2347.917	-66.89	Ij14	
4	Spectrogram 1	1	HS180803-1236-ESM.wav	49.3203	49.320346764	63.623290344	41.590	2385.725	14.3029	2344.136	-63.91	Il12	
5	Spectrogram 1	1	HS180803-1236-ESM.wav	69.8124	69.812377648	81.635238374	68.056	2536.960	11.8229	2468.904	-66.92	Il12	
6	Spectrogram 1	1	HS180803-1236-ESM.wav	88.5363	88.536313209	98.014986033	98.302	2291.204	9.4787	2192.901	-72.51	Ib28	
7	Spectrogram 1	1	HS180803-1236-ESM.wav	98.3606	98.360590448	109.673845109	52.932	2381.944	11.3133	2329.012	-73.36	Ib26	
8	Spectrogram 1	1	HS180803-1236-ESM.wav	110.2929	110.292923254	118.820331421	22.685	2434.877	8.5274	2412.191	-70.25	Ib27	
9	Spectrogram 1	1	HS180803-1236-ESM.wav	119.3979	119.397884963	127.177870900	60.494	2068.133	7.7800	2007.639	-69.46	Ib24	
10	Spectrogram 1	1	HS180803-1236-ESM.wav	127.8363	127.836323837	137.145127972	136.111	2306.327	9.3088	2170.216	-74.11	Ib211	
11	Spectrogram 1	1	HS180803-1236-ESM.wav	137.3582	137.358205093	146.293298113	136.111	2083.256	8.9351	1947.145	-71.91	Ib26	
12	Spectrogram 1	1	HS180803-1236-ESM.wav	147.2446	147.244562769	156.587340642	45.370	2257.176	9.3428	2211.806	-67.23	Ib26	
13	Spectrogram 1	1	HS180803-1236-ESM.wav	156.7272	156.727185811	166.375727323	60.494	2680.633	9.6485	2620.139	-66.54	Ic21	
14	Spectrogram 1	1	HS180803-1236-ESM.wav	167.2590	167.259044504	177.790903197	109.645	2710.880	10.5319	2601.235	-66.99	Ic21	
15	Spectrogram 1	1	HS180803-1236-ESM.wav	178.8592	178.859190963	188.847469853	37.809	2691.975	9.9883	2654.167	-64.72	Ic21	
16	Spectrogram 1	1	HS180803-1236-ESM.wav	189.4590	189.458997132	200.432514415	86.960	2650.386	10.9735	2563.426	-62.76	Ic21	
17	Spectrogram 1	1	HS180803-1236-ESM.wav	201.0393	201.039339616	213.269885196	71.836	2699.537	12.2305	2627.701	-64.01	Ic22	
18	Spectrogram 1	1	HS180803-1236-ESM.wav	214.3231	214.323071065	228.626014645	113.426	2680.633	14.3029	2567.207	-62.30	Dm12	
