Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Clock Time	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Category	Comment
1	Spectrogram 1	1	9.777385552	16.119473477	42.8	3791.0	HS180911-1053-MAN.wav	9.7774	6.3421	3748.212	-65.36	Ee131	
2	Spectrogram 1	1	17.680972398	24.983982737	80.2	3769.6	HS180911-1053-MAN.wav	17.6810	7.3030	3689.395	-64.57	Ee131	
3	Spectrogram 1	1	26.041846121	33.152671977	85.6	3689.4	HS180911-1053-MAN.wav	26.0418	7.1108	3603.844	-63.97	Ee131	
4	Spectrogram 1	1	34.329801933	41.921088995	48.1	3657.3	HS180911-1053-MAN.wav	34.3298	7.5913	3609.191	-64.24	Ee131	
5	Spectrogram 1	1	42.998781888	50.205699985	42.8	3668.0	HS180911-1053-MAN.wav	42.9988	7.2069	3625.232	-65.76	Ee121	
6	Spectrogram 1	1	51.214668519	70.793530418	74.9	3716.1	HS180911-1053-MAN.wav	51.2147	19.5789	3641.273	-68.27	Ee125	
7	Spectrogram 1	1	71.258066775	84.710980556	48.1	3438.1	HS180911-1053-MAN.wav	71.2581	13.4529	3389.966	-69.44	Ij13	
8	Spectrogram 1	1	85.124414707	99.225951117	32.1	3422.0	HS180911-1053-MAN.wav	85.1244	14.1015	3389.966	-68.90	Ij13	
9	Spectrogram 1	1	99.614581370	114.244625107	32.1	3411.4	HS180911-1053-MAN.wav	99.6146	14.6300	3379.272	-66.72	Ij13	
10	Spectrogram 1	1	114.639367217	129.221364833	37.4	3320.5	HS180911-1053-MAN.wav	114.6394	14.5820	3283.027	-66.47	Ij13	
11	Spectrogram 1	1	129.544750863	144.246863782	32.1	3384.6	HS180911-1053-MAN.wav	129.5448	14.7021	3352.537	-65.18	Ij13	
12	Spectrogram 1	1	145.077857742	160.380547169	48.1	3529.0	HS180911-1053-MAN.wav	145.0779	15.3027	3480.864	-64.23	Dc13	
13	Spectrogram 1	1	160.741741804	176.548915497	37.4	3512.9	HS180911-1053-MAN.wav	160.7417	15.8072	3475.517	-65.68	Dc13	
14	Spectrogram 1	1	176.977985918	194.923211980	42.8	3448.8	HS180911-1053-MAN.wav	176.9780	17.9452	3406.007	-65.02	Dc13	
15	Spectrogram 1	1	195.339345586	214.894116690	85.6	3448.8	HS180911-1053-MAN.wav	195.3393	19.5548	3363.231	-67.62	Dc14	
16	Spectrogram 1	1	215.212171858	227.487955684	139.0	3454.1	HS180911-1053-MAN.wav	215.2122	12.2758	3315.109	-66.23	Dg122	
17	Spectrogram 1	1	227.867061523	235.602486947	90.9	3448.8	HS180911-1053-MAN.wav	227.8671	7.7354	3357.884	-67.21	Il22	
18	Spectrogram 1	1	236.224098480	244.488031232	128.3	3459.5	HS180911-1053-MAN.wav	236.2241	8.2639	3331.149	-67.16	Ib26	
19	Spectrogram 1	1	245.142765717	254.944174329	74.9	3448.8	HS180911-1053-MAN.wav	245.1428	9.8014	3373.925	-67.86	Ib29	
20	Spectrogram 1	1	255.325911731	264.310536292	197.8	3427.4	HS180911-1053-MAN.wav	255.3259	8.9846	3229.557	-68.44	Ib27	
21	Spectrogram 1	1	264.769741630	274.571150242	112.3	3406.0	HS180911-1053-MAN.wav	264.7697	9.8014	3293.721	-68.22	Ib210	
22	Spectrogram 1	1	275.005908154	284.687201465	58.8	3368.6	HS180911-1053-MAN.wav	275.0059	9.6813	3309.762	-67.29	Ib29	
23	Spectrogram 1	1	285.095593490	295.233324947	112.3	3395.3	HS180911-1053-MAN.wav	285.0956	10.1377	3283.027	-67.73	Ib213	
24	Spectrogram 1	1	295.657120684	305.122206451	69.5	3390.0	HS180911-1053-MAN.wav	295.6571	9.4651	3320.456	-66.78	Ib22	
25	Spectrogram 1	1	305.698759899	314.587292219	128.3	3470.2	HS180911-1053-MAN.wav	305.6988	8.8885	3341.843	-67.98	Ib210	
26	Spectrogram 1	1	315.076632473	324.757925784	96.2	3480.9	HS180911-1053-MAN.wav	315.0766	9.6813	3384.619	-67.78	Ib29	
27	Spectrogram 1	1	325.274633763	334.787765652	96.2	3512.9	HS180911-1053-MAN.wav	325.2746	9.5131	3416.701	-68.03	Ib210	
28	Spectrogram 1	1	335.462754167	345.936808468	128.3	3486.2	HS180911-1053-MAN.wav	335.4628	10.4741	3357.884	-68.38	Ib214	
29	Spectrogram 1	1	346.373484685	356.439146961	139.0	3480.9	HS180911-1053-MAN.wav	346.3735	10.0657	3341.843	-68.32	Ib214	
30	Spectrogram 1	1	356.799492865	366.745039840	112.3	3491.6	HS180911-1053-MAN.wav	356.7995	9.9455	3379.272	-68.77	Ib211	
31	Spectrogram 1	1	367.182140578	376.431018803	123.0	3507.6	HS180911-1053-MAN.wav	367.1821	9.2489	3384.619	-67.47	Il22	
32	Spectrogram 1	1	377.079641432	386.088289053	64.2	3539.7	HS180911-1053-MAN.wav	377.0796	9.0086	3475.517	-66.07	Il22	
33	Spectrogram 1	1	386.568750260	395.481305640	123.0	3550.4	HS180911-1053-MAN.wav	386.5688	8.9126	3427.395	-65.25	Il22	
34	Spectrogram 1	1	396.067875759	405.148592562	144.4	3555.7	HS180911-1053-MAN.wav	396.0679	9.0807	3411.354	-65.35	Il22	
35	Spectrogram 1	1	405.508938467	414.829885872	106.9	3534.3	HS180911-1053-MAN.wav	405.5089	9.3209	3427.395	-66.07	Il22	
36	Spectrogram 1	1	415.197973358	424.566966885	112.3	3512.9	HS180911-1053-MAN.wav	415.1980	9.3690	3400.660	-65.67	Ic21	
