variant_id,role,enabled_components,mean_similarity,median_similarity,worst_fold_similarity,similarity_variance,improved_families_vs_morph,worsened_families_vs_morph,maximum_peak,mean_cpu_seconds_per_audio_second,maximum_cpu_seconds_per_audio_second,product_contracts_pass
morph,baseline,,0.144731695,0.152634304,0.080041173,0.002404110085,0,0,0.090311240,0.301920,0.306126,true
organic-full,baseline,articulation_states;harmonic_profile;periodicity_roughness;pitch_contour;pulse;register_bass;resonance_focus;secondary_frequency;source_envelope;subharmonic,0.148678269,0.149587305,0.088429768,0.001925895357,5,3,0.207764271,0.553205,0.562240,true
organic-drop-source_envelope,leave-one-component-out,articulation_states;harmonic_profile;periodicity_roughness;pitch_contour;pulse;register_bass;resonance_focus;secondary_frequency;subharmonic,0.148648731,0.148684917,0.087645752,0.001959107628,5,3,0.214330505,0.557132,0.575639,true
organic-drop-periodicity_roughness,leave-one-component-out,articulation_states;harmonic_profile;pitch_contour;pulse;register_bass;resonance_focus;secondary_frequency;source_envelope;subharmonic,0.146895262,0.153548284,0.096368520,0.001298761520,4,4,0.073464200,0.545610,0.554087,true
organic-drop-pulse,leave-one-component-out,articulation_states;harmonic_profile;periodicity_roughness;pitch_contour;register_bass;resonance_focus;secondary_frequency;source_envelope;subharmonic,0.148044306,0.149134884,0.087157766,0.001964502333,5,3,0.207912114,0.572171,0.603920,true
organic-drop-subharmonic,leave-one-component-out,articulation_states;harmonic_profile;periodicity_roughness;pitch_contour;pulse;register_bass;resonance_focus;secondary_frequency;source_envelope,0.148597313,0.149471348,0.088427845,0.001923450714,5,3,0.207764271,0.567268,0.596735,true
organic-drop-secondary_frequency,leave-one-component-out,articulation_states;harmonic_profile;periodicity_roughness;pitch_contour;pulse;register_bass;resonance_focus;source_envelope;subharmonic,0.148649592,0.149573578,0.088426648,0.001923447025,5,3,0.207764271,0.550524,0.569345,true
organic-drop-resonance_focus,leave-one-component-out,articulation_states;harmonic_profile;periodicity_roughness;pitch_contour;pulse;register_bass;secondary_frequency;source_envelope;subharmonic,0.150935233,0.151408146,0.094749457,0.001592370337,5,3,0.249474619,0.579466,0.608268,true
organic-drop-harmonic_profile,leave-one-component-out,articulation_states;periodicity_roughness;pitch_contour;pulse;register_bass;resonance_focus;secondary_frequency;source_envelope;subharmonic,0.149235570,0.149150309,0.089380299,0.001899297746,5,3,0.207695710,0.561206,0.599037,true
organic-drop-register_bass,leave-one-component-out,articulation_states;harmonic_profile;periodicity_roughness;pitch_contour;pulse;resonance_focus;secondary_frequency;source_envelope;subharmonic,0.146533149,0.153076990,0.080847995,0.002431679839,5,3,0.192538097,0.567254,0.584783,true
organic-drop-articulation_states,leave-one-component-out,harmonic_profile;periodicity_roughness;pitch_contour;pulse;register_bass;resonance_focus;secondary_frequency;source_envelope;subharmonic,0.148410164,0.149090759,0.088104701,0.001974735023,5,3,0.205655876,0.557035,0.580131,true
organic-drop-pitch_contour,leave-one-component-out,articulation_states;harmonic_profile;periodicity_roughness;pulse;register_bass;resonance_focus;secondary_frequency;source_envelope;subharmonic,0.148053378,0.149768472,0.089802969,0.001810573165,4,4,0.208199471,0.553473,0.556190,true
organic-only-source_envelope,isolated-over-morph,source_envelope,0.142559740,0.149992241,0.077163679,0.002467905515,2,6,0.085409954,0.428574,0.439362,true
organic-only-periodicity_roughness,isolated-over-morph,periodicity_roughness,0.152953150,0.156675659,0.099566057,0.001548262392,5,3,0.250000000,0.446483,0.452862,true
organic-only-pulse,isolated-over-morph,pulse,0.144176263,0.151949297,0.079406093,0.002387944709,4,4,0.081741509,0.453565,0.474958,true
organic-only-subharmonic,isolated-over-morph,subharmonic,0.142770761,0.150462657,0.078531566,0.002400831476,0,8,0.082095031,0.481638,0.500881,true
organic-only-secondary_frequency,isolated-over-morph,secondary_frequency,0.142811048,0.150593208,0.078551742,0.002399577005,0,8,0.082374261,0.496583,0.517547,true
organic-only-resonance_focus,isolated-over-morph,resonance_focus,0.137512763,0.142706270,0.074541029,0.002374577964,0,8,0.065352023,0.483425,0.507047,true
organic-only-harmonic_profile,isolated-over-morph,harmonic_profile,0.142653360,0.150241154,0.077746852,0.002526816940,2,6,0.094451354,0.480620,0.487466,true
organic-only-register_bass,isolated-over-morph,register_bass,0.146458139,0.148646726,0.103979513,0.001112342281,3,5,0.094545585,0.406449,0.420084,true
organic-only-articulation_states,isolated-over-morph,articulation_states,0.144343182,0.152010092,0.078902006,0.002459890119,4,4,0.083354699,0.422754,0.433115,true
organic-only-pitch_contour,isolated-over-morph,pitch_contour,0.143515455,0.150363840,0.079147673,0.002379569190,2,6,0.090257127,0.325322,0.330420,true
